latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-18.51218,130.58519,321.52,2.04,1.39,2022-05-03,0102,T,67,6.1NRT,301.35,26.33,D
-19.4769,133.37372,337.11,1.28,1.12,2022-05-03,0102,T,86,6.1NRT,304.89,38.77,D
-19.4789,133.38571,324.99,1.27,1.12,2022-05-03,0102,T,70,6.1NRT,303.25,16.01,D
-33.01302,137.59116,309.16,1.35,1.15,2022-05-03,0105,T,0,6.1NRT,293.92,9.33,D
-33.00639,135.0132,307.88,1.05,1.02,2022-05-03,0105,T,58,6.1NRT,295.26,5.9,D
-34.33538,140.34512,308.9,2.07,1.4,2022-05-03,0105,T,59,6.1NRT,295.12,14.36,D
-36.65549,140.50926,309.62,2.26,1.46,2022-05-03,0107,T,65,6.1NRT,291.86,21.42,D
-36.65754,140.53479,312.01,2.27,1.46,2022-05-03,0107,T,72,6.1NRT,291.46,27.43,D
-36.65338,140.5298,314.28,2.27,1.46,2022-05-03,0107,T,75,6.1NRT,291.57,35.54,D
-20.23645,-40.23815,307.08,2.18,1.43,2022-05-03,0139,T,70,6.1NRT,293.29,19.25,N
-20.31322,-45.48074,301.6,1.06,1.03,2022-05-03,0139,T,43,6.1NRT,274.53,8.78,N
-20.7588,-49.194,301.38,1.13,1.06,2022-05-03,0139,T,41,6.1NRT,291.37,5.85,N
-19.1728,-49.42118,301.54,1.11,1.05,2022-05-03,0139,T,42,6.1NRT,290.53,5.69,N
-18.32523,-49.87719,334.02,1.15,1.07,2022-05-03,0141,T,100,6.1NRT,291.96,42.23,N
-18.32663,-49.8881,316.03,1.15,1.07,2022-05-03,0141,T,92,6.1NRT,291.14,17.75,N
-18.31563,-49.8786,305.95,1.15,1.07,2022-05-03,0141,T,66,6.1NRT,288.92,9.61,N
-18.31702,-49.88944,301.8,1.15,1.07,2022-05-03,0141,T,44,6.1NRT,289.39,6.83,N
-17.75417,-47.94298,308.62,1,1,2022-05-03,0141,T,75,6.1NRT,287.45,10.21,N
-17.96228,-51.19231,314.03,1.34,1.15,2022-05-03,0141,T,88,6.1NRT,288.3,21.79,N
-17.26617,-49.0087,332.57,1.04,1.02,2022-05-03,0141,T,100,6.1NRT,289.86,35.34,N
-16.8895,-51.22386,309.92,1.3,1.13,2022-05-03,0141,T,79,6.1NRT,290.39,14.99,N
-16.10663,-45.98473,302.7,1.1,1.05,2022-05-03,0141,T,51,6.1NRT,289.72,6,N
-15.75016,-50.50918,302.29,1.16,1.07,2022-05-03,0141,T,48,6.1NRT,291.96,5.25,N
-15.58904,-49.36367,301.08,1.04,1.02,2022-05-03,0141,T,37,6.1NRT,290.1,4.5,N
-12.88855,-44.91239,305.71,1.38,1.16,2022-05-03,0141,T,63,6.1NRT,290.17,11.58,N
-12.88116,-44.90638,305.07,1.39,1.17,2022-05-03,0141,T,61,6.1NRT,289.96,11.08,N
-13.38789,-48.59138,302.61,1,1,2022-05-03,0141,T,50,6.1NRT,292.38,4.05,N
-14.01476,-54.66597,303.94,2.08,1.4,2022-05-03,0141,T,58,6.1NRT,290.34,17.89,N
-14.01704,-54.6851,303.55,2.09,1.41,2022-05-03,0141,T,56,6.1NRT,290.53,17.04,N
-12.3197,-45.64978,314.05,1.27,1.12,2022-05-03,0141,T,88,6.1NRT,289.96,19.36,N
-12.32147,-45.66134,312.41,1.27,1.12,2022-05-03,0141,T,85,6.1NRT,290.02,17.43,N
-13.2451,-53.87693,304.68,1.77,1.3,2022-05-03,0141,T,61,6.1NRT,291.32,14.14,N
-12.0176,-45.68162,303.78,1.28,1.12,2022-05-03,0141,T,57,6.1NRT,289.51,8.9,N
-12.00757,-45.6833,313.15,1.28,1.12,2022-05-03,0141,T,86,6.1NRT,290.83,17.33,N
-13.29137,-56.76853,300.57,2.96,1.64,2022-05-03,0141,T,30,6.1NRT,289.68,18.85,N
-11.67602,-44.81896,300.84,1.46,1.2,2022-05-03,0141,T,32,6.1NRT,290.84,7.38,N
-11.67288,-44.82587,315.55,1.46,1.2,2022-05-03,0141,T,91,6.1NRT,290.31,25.45,N
-11.96337,-48.46746,307.51,1,1,2022-05-03,0141,T,72,6.1NRT,293.22,7.19,N
-12.7104,-55.17605,306.88,2.18,1.43,2022-05-03,0141,T,70,6.1NRT,291.24,21.58,N
-12.71281,-55.19606,310.34,2.19,1.43,2022-05-03,0141,T,80,6.1NRT,291.31,28.91,N
-12.69751,-55.17761,301.97,2.18,1.43,2022-05-03,0141,T,45,6.1NRT,291.11,12.73,N
-12.69991,-55.19767,302.17,2.19,1.43,2022-05-03,0141,T,47,6.1NRT,291.11,13.1,N
-12.29468,-52.66978,302.53,1.4,1.17,2022-05-03,0141,T,50,6.1NRT,292.32,6.7,N
-12.29633,-52.68261,319.89,1.41,1.17,2022-05-03,0141,T,99,6.1NRT,294.06,26.98,N
-12.29799,-52.69551,323.6,1.41,1.18,2022-05-03,0141,T,100,6.1NRT,293.69,32.8,N
-12.29966,-52.7085,303.89,1.41,1.18,2022-05-03,0141,T,47,6.1NRT,293.26,6.69,N
-12.28414,-52.67121,321.64,1.4,1.17,2022-05-03,0141,T,100,6.1NRT,293.46,29.95,N
-12.28578,-52.68405,344.99,1.41,1.17,2022-05-03,0141,T,100,6.1NRT,296.16,83.25,N
-12.28743,-52.69696,334.64,1.41,1.18,2022-05-03,0141,T,100,6.1NRT,295.29,54.55,N
-12.28908,-52.70991,317.09,1.41,1.18,2022-05-03,0141,T,94,6.1NRT,293.75,21.61,N
-12.27523,-52.68549,321.77,1.41,1.17,2022-05-03,0141,T,100,6.1NRT,294.48,29.53,N
-12.27687,-52.69839,338.63,1.41,1.18,2022-05-03,0141,T,100,6.1NRT,296.79,65.16,N
-12.27851,-52.71134,311.22,1.41,1.18,2022-05-03,0141,T,82,6.1NRT,293.99,14.3,N
-12.47978,-57.20325,306.35,3.11,1.67,2022-05-03,0141,T,68,6.1NRT,290.61,35.82,N
-11.52032,-51.88101,303.62,1.23,1.1,2022-05-03,0141,T,56,6.1NRT,292.63,6.05,N
-10.09638,-44.36822,306.28,1.68,1.27,2022-05-03,0141,T,67,6.1NRT,287.39,14.85,N
-10.085,-44.37019,303.6,1.68,1.27,2022-05-03,0141,T,39,6.1NRT,285.59,10.71,N
-11.46963,-54.47724,311.8,1.85,1.33,2022-05-03,0141,T,83,6.1NRT,291.93,25.48,N
-11.4762,-54.48214,303.77,1.85,1.33,2022-05-03,0141,T,57,6.1NRT,291.4,12.3,N
-11.39756,-54.24197,323.08,1.77,1.3,2022-05-03,0141,T,100,6.1NRT,292.96,46.64,N
-11.39958,-54.25808,309.78,1.77,1.3,2022-05-03,0141,T,78,6.1NRT,292.15,20.08,N
-11.43574,-56.3901,308.71,2.6,1.55,2022-05-03,0141,T,75,6.1NRT,291.75,32.13,N
-11.43849,-56.41385,319.07,2.61,1.55,2022-05-03,0141,T,98,6.1NRT,291.88,66.24,N
-11.44452,-56.39574,306.67,2.6,1.55,2022-05-03,0141,T,69,6.1NRT,291.77,26.33,N
-11.44749,-56.41967,303.63,2.61,1.55,2022-05-03,0141,T,56,6.1NRT,291.35,18.67,N
-11.43061,-56.3975,303.67,2.6,1.55,2022-05-03,0141,T,21,6.1NRT,291.43,17.59,N
-11.43353,-56.42126,310.08,2.61,1.55,2022-05-03,0141,T,79,6.1NRT,291.43,34.19,N
-10.86224,-52.29823,305.86,1.28,1.12,2022-05-03,0141,T,66,6.1NRT,292.28,8.7,N
-10.22529,-51.94279,312.65,1.2,1.09,2022-05-03,0143,T,85,6.1NRT,294.21,12.76,N
-10.2225,-51.93792,313.86,1.2,1.09,2022-05-03,0143,T,88,6.1NRT,294.2,14.45,N
-10.38509,-53.55832,301.77,1.52,1.22,2022-05-03,0143,T,44,6.1NRT,290.99,6.23,N
-9.34756,-46.81987,304.91,1.19,1.09,2022-05-03,0143,T,62,6.1NRT,290.47,7.29,N
-10.10816,-52.75599,303.89,1.33,1.14,2022-05-03,0143,T,57,6.1NRT,292.49,6.91,N
-10.10975,-52.76803,307.05,1.33,1.14,2022-05-03,0143,T,70,6.1NRT,292.37,9.96,N
-8.86709,-49.91475,304.14,1,1,2022-05-03,0143,T,59,6.1NRT,293.68,4.22,N
-8.86836,-49.92381,303.76,1,1,2022-05-03,0143,T,57,6.1NRT,293.36,4.08,N
-6.56676,-47.36735,303.83,1.2,1.09,2022-05-03,0143,T,57,6.1NRT,292.93,5.74,N
-24.85068,-50.71139,314.38,1.53,1.22,2022-05-03,0139,T,89,6.1NRT,286.56,26.93,N
-23.3531,-47.89024,301.15,1.06,1.03,2022-05-03,0139,T,38,6.1NRT,290.2,4.53,N
-23.34601,-47.88716,300.72,1.06,1.03,2022-05-03,0139,T,32,6.1NRT,290.18,4.58,N
-22.80828,-49.38298,307.85,1.21,1.09,2022-05-03,0139,T,73,6.1NRT,289.08,11.45,N
-22.8097,-49.3947,302.25,1.21,1.09,2022-05-03,0139,T,48,6.1NRT,288.82,6.84,N
-22.80789,-49.38936,318.06,1.21,1.09,2022-05-03,0139,T,96,6.1NRT,289.36,21.18,N
5.9019,5.58192,304.02,1.12,1.06,2022-05-03,0126,A,58,6.1NRT,292.04,5.46,N
5.69089,6.36249,303.3,1.24,1.11,2022-05-03,0126,A,54,6.1NRT,289.44,6.98,N
5.66701,6.51934,302.87,1.27,1.12,2022-05-03,0126,A,52,6.1NRT,291.44,5.95,N
5.51849,5.94177,303.93,1.18,1.08,2022-05-03,0126,A,58,6.1NRT,292.39,6.33,N
