latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-13.6212,134.45357,322.56,1.18,1.08,2022-04-29,0124,T,71,6.1NRT,301.85,11.86,D
-13.62267,134.46445,318.59,1.18,1.08,2022-04-29,0124,T,58,6.1NRT,300.1,6.58,D
-13.79809,133.39349,322.18,1.07,1.03,2022-04-29,0124,T,61,6.1NRT,302.57,10.28,D
-13.86551,133.48846,323.6,1.08,1.04,2022-04-29,0124,T,65,6.1NRT,304.2,9.49,D
-13.97688,133.62909,321.61,1.09,1.04,2022-04-29,0124,T,64,6.1NRT,304.16,8.74,D
-13.61844,131.01703,316.52,1.02,1.01,2022-04-29,0124,T,33,6.1NRT,298.3,6.88,D
-13.9048,132.79179,325.59,1.03,1.01,2022-04-29,0124,T,73,6.1NRT,303.55,14.28,D
-13.91389,132.79047,318.91,1.03,1.01,2022-04-29,0124,T,50,6.1NRT,302.94,7.33,D
-14.00113,132.62712,319.12,1.02,1.01,2022-04-29,0124,T,31,6.1NRT,302.18,6.73,D
-14.25327,131.32219,320.68,1,1,2022-04-29,0124,T,48,6.1NRT,299.45,8.61,D
-14.25678,131.28389,321.01,1,1,2022-04-29,0124,T,47,6.1NRT,299.79,7.88,D
-14.25816,131.29314,331.06,1,1,2022-04-29,0124,T,81,6.1NRT,301.83,18.9,D
-14.32167,131.34955,337.31,1,1,2022-04-29,0124,T,86,6.1NRT,302.06,27.47,D
-14.33119,131.41409,346.2,1,1,2022-04-29,0124,T,92,6.1NRT,302.07,42.33,D
-14.33255,131.42332,323.45,1,1,2022-04-29,0124,T,62,6.1NRT,300.33,8.88,D
-14.33338,131.36662,336.14,1,1,2022-04-29,0124,T,85,6.1NRT,301.29,25.41,D
-14.33474,131.37585,331.87,1,1,2022-04-29,0124,T,82,6.1NRT,302.42,19.25,D
-14.34291,131.36819,317.58,1,1,2022-04-29,0124,T,55,6.1NRT,300.06,5.9,D
-14.36824,131.47745,338.22,1,1,2022-04-29,0124,T,87,6.1NRT,302.77,28.11,D
